"participants","type","estimation","position_stim"
1,"many",25,1
2,"many",35,1
3,"many",30,1
4,"many",32,1
5,"many",25,1
6,"many",20,1
7,"many",30,1
8,"many",43,1
9,"many",30,1
10,"many",54,1
11,"many",21,1
12,"many",34,1
13,"many",25,1
14,"many",20,1
15,"many",50,1
16,"many",34,1
17,"many",50,1
18,"many",20,1
19,"many",30,1
20,"many",22,1
21,"many",39,1
22,"many",50,1
23,"many",25,1
24,"many",50,1
25,"many",20,1
26,"many",25,1
27,"many",30,1
28,"many",30,1
29,"many",20,1
30,"many",48,1
31,"many",30,1
32,"many",30,1
33,"many",30,1
34,"many",30,1
35,"many",30,1
36,"many",20,1
37,"many",29,1
38,"many",30,1
39,"many",20,1
40,"many",40,1
41,"many",30,1
42,"many",50,1
43,"many",27,1
1,"many",20,2
2,"many",40,2
3,"many",28,2
4,"many",25,2
5,"many",26,2
6,"many",18,2
7,"many",27,2
8,"many",34,2
9,"many",20,2
10,"many",36,2
11,"many",26,2
12,"many",34,2
13,"many",48,2
14,"many",19,2
15,"many",20,2
16,"many",44,2
17,"many",40,2
18,"many",100,2
19,"many",25,2
20,"many",28,2
21,"many",40,2
22,"many",30,2
23,"many",30,2
24,"many",28,2
25,"many",15,2
26,"many",30,2
27,"many",30,2
28,"many",35,2
29,"many",25,2
30,"many",35,2
31,"many",40,2
32,"many",23,2
33,"many",25,2
34,"many",23,2
35,"many",35,2
36,"many",25,2
37,"many",39,2
38,"many",30,2
39,"many",28,2
40,"many",35,2
41,"many",30,2
42,"many",35,2
43,"many",23,2
