AQ_type,AQ_slope,R2,lower_ci_slope,upper_ci_slope,ci_contains_zero
AQ,0.006301864189069007,0.02033944826741807,-0.02848459377750977,0.036336433806384946,True
AQ_social,0.053724863789741895,0.0703445592510864,-0.02891039533113863,0.036823873140578715,True
AQ_attentional_switches,0.020662657244346454,0.02471565917719143,-0.02561468971792473,0.03570634671588845,True
AQ_attencion_detail,0.004762876314605616,0.017275281692131328,-0.029036338801196923,0.03297757809344083,True
AQ_communication,-0.004971906987027956,0.017263143922100377,-0.027884288509458486,0.03523021736033697,True
AQ_imagination,-0.04285966969563405,0.05224639424017952,-0.023039589790283466,0.036937795226632694,True
AQ,-0.006505810604030309,0.02106124707236956,-0.03728209412279961,0.01969450760424537,True
AQ_social,-0.03082920758127614,0.03361069011371398,-0.035110232495175295,0.018049325589606265,True
AQ_attentional_switches,-0.02421821898539031,0.027451512559063196,-0.03693453932714123,0.0201936028014714,True
AQ_attencion_detail,0.0592092791050267,0.0874308325242189,-0.03755126688408874,0.02050842755947984,True
AQ_communication,-0.0478029989731408,0.06242232050821017,-0.03581535205383525,0.018676211124552238,True
AQ_imagination,0.005246246575463257,0.017310973089951553,-0.036153807744826974,0.021555390694997015,True
AQ,0.0069807023026317245,0.01963981582602392,-0.027862201010856985,0.04517442734140736,True
AQ_social,0.09579969147465289,0.15350416628145602,-0.028750361486375022,0.0475990432083589,True
AQ_attentional_switches,0.004831135608385635,0.017215821251197472,-0.02690520181665235,0.04579117777540373,True
AQ_attencion_detail,-0.06840557472065698,0.07861564065668436,-0.03218319509073358,0.049595248603411066,True
AQ_communication,-0.016565615827266685,0.021601276953916337,-0.02812410186879509,0.04650959654467686,True
AQ_imagination,0.005365042154715681,0.017289836881717258,-0.030143095381091653,0.04716462597223791,True
AQ,-0.004614623390029849,0.019197578099248935,-0.029208882719095004,0.02166140090543458,True
AQ_social,0.042160433989088135,0.05557787859050378,-0.028055244798558247,0.020356546999637536,True
AQ_attentional_switches,-0.012760889422822908,0.01996780520191599,-0.03001415448421734,0.021396003613071635,True
AQ_attencion_detail,-0.027222015380188,0.03195439499254138,-0.028510271720841196,0.02048926999044945,True
AQ_communication,-0.003309888014476354,0.01703893663092504,-0.02798067011365782,0.019310594131304627,True
AQ_imagination,-0.02936512244575442,0.03344408172252933,-0.028664805625395244,0.02088482107402608,True
AQ,0.00802324162275759,0.02225640367598425,-0.01639521439788949,0.03742108697568678,True
AQ_social,-0.00010217904703571171,0.016821965285961582,-0.016807434134533488,0.03325770218058743,True
AQ_attentional_switches,0.019464108850129586,0.02479058020831948,-0.017838579215526635,0.03586599593740045,True
AQ_attencion_detail,0.022589674093420893,0.025101226788522224,-0.01627580208060755,0.038027239767934644,True
AQ_communication,-0.038456158627697745,0.04594235465762564,-0.016854154751236246,0.035501710376667724,True
AQ_imagination,0.032110035811130686,0.038025503277846595,-0.016836361923598143,0.038000815468205745,True
AQ,-0.011461813470055827,0.024868701267998228,-0.04139477455956171,0.011692270177605895,True
AQ_social,0.03901371721521677,0.04318240947288143,-0.040102964876091,0.013107013883197698,True
AQ_attentional_switches,-0.041308585331846656,0.05603372720618571,-0.042462148242527635,0.013653967468185304,True
AQ_attencion_detail,-0.0009470917792688298,0.016841961334628563,-0.041273180857227316,0.014579364154229826,True
AQ_communication,-0.03563227030980146,0.04074499131154341,-0.03946783525121309,0.01386233668589067,True
AQ_imagination,0.014817165054419922,0.020736354733761786,-0.04114091650140399,0.014666427131584179,True
AQ,-0.008676991174300434,0.023053592508933907,-0.04251153724619316,0.023953029553069317,True
