"participants","type","confidence","estimation","position_stim"
1,"few",2,20,1
2,"few",2,30,1
3,"few",2,25,1
4,"few",1,26,1
5,"few",3,35,1
6,"few",1,27,1
7,"few",2,31,1
8,"few",2,30,1
9,"few",1,9,1
1,"morph",3,30,2
2,"morph",4,20,2
3,"morph",2,20,2
4,"morph",3,20,2
5,"morph",2,40,2
6,"morph",3,19,2
7,"morph",4,32,2
8,"morph",2,30,2
9,"morph",3,25,2
